row_id,label,status,node,started_at,ended_at,return_code,command,stdout_log,stderr_log
acdhh_7002,bayesflow_fusion_transformer_posterior_family,FAILED,fal102,2026-04-26T01:04:52-04:00,2026-04-26T01:06:03-04:00,1,cd /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch && /home/dmm96/venvs/bayesflow_20260425_py312/bin/python scripts/run_hh_track4_aligned_multicurrent_bayesflow_temporal_20260426.py --params pytorch/configs/fourth_track_hh_full/params_dnn_tar_hh_full.yaml --save-dir data/important_notes/optimization_track_20260425_hh_track4_run_all_literature_plan/runs/bayesflow_fusion_transformer_v100_20260426 --summary-network fusion_transformer --epochs 40 --batch-size 64 --posterior-samples 128 --sample-batch-size 32 --time-points 1000 --summary-dim 64 --recurrent-dim 128,data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_7002.out,data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_7002.err
acdhh_7001,bayesflow_temporal_transformer_posterior_family,FAILED,fal101,2026-04-26T01:04:52-04:00,2026-04-26T01:08:09-04:00,1,cd /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch && /home/dmm96/venvs/bayesflow_20260425_py312/bin/python scripts/run_hh_track4_aligned_multicurrent_bayesflow_temporal_20260426.py --params pytorch/configs/fourth_track_hh_full/params_dnn_tar_hh_full.yaml --save-dir data/important_notes/optimization_track_20260425_hh_track4_run_all_literature_plan/runs/bayesflow_temporal_transformer_v100_20260426 --summary-network time_series_transformer --epochs 40 --batch-size 64 --posterior-samples 128 --sample-batch-size 32 --time-points 1000 --summary-dim 64 --recurrent-dim 128,data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_7001.out,data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_7001.err
acdhh_7003,bayesflow_deepset_posterior_family,COMPLETED,fal103,2026-04-26T01:04:52-04:00,2026-04-26T01:14:33-04:00,0,cd /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch && /home/dmm96/venvs/bayesflow_20260425_py312/bin/python scripts/run_hh_track4_aligned_multicurrent_bayesflow_set_20260426.py --params pytorch/configs/fourth_track_hh_full/params_dnn_tar_hh_full.yaml --save-dir data/important_notes/optimization_track_20260425_hh_track4_run_all_literature_plan/runs/bayesflow_deepset_posterior_v100_20260426 --summary-network deep_set --epochs 40 --batch-size 64 --posterior-samples 128 --sample-batch-size 32 --summary-dim 64,data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_7003.out,data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_7003.err
