run_name,initializer,objective,mean_trace_rmse_z,mean_summary_rel_l1,mean_range_rel_error,mean_mean_rel_error,mean_std_rel_error,current_gain,source
hybrid_refinement_surrogate_bundle_prediction_swyft_tmnre_schedule_matrix_v100_20260425_map_bank_20260427,predictions_map_bank,3.5068150273684906,1.7231739282608032,0.1529631199262623,2.5001243919563874,12.150479888916015,0.15031139850616454,8.61102067553775,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260427_hh_track4_a30_literal_rerun/runs/phaseSURR_direct_fitting/hybrid_refinement_surrogate_bundle_prediction_swyft_tmnre_schedule_matrix_v100_20260425_map_bank_20260427/hybrid_refinement_manifest.json
hybrid_refinement_surrogate_bundle_prediction_swyft_tmnre_schedule_matrix_v100_20260425_mean_20260427,predictions_mean,176.59065769671673,0.7523608446121216,36.46034166694404,669.6815322657934,149.11508178710938,142.2936263680458,8.217902278194078,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260427_hh_track4_a30_literal_rerun/runs/phaseSURR_direct_fitting/hybrid_refinement_surrogate_bundle_prediction_swyft_tmnre_schedule_matrix_v100_20260425_mean_20260427/hybrid_refinement_manifest.json
hybrid_refinement_surrogate_bundle_prediction_swyft_tmnre_structured_stage1_v100_20260425_mean_20260427,predictions_mean,197.2583641958173,0.7342878580093384,40.82518856564781,750.360091542477,158.97196044921876,162.66045986413957,6.2490318963260005,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260427_hh_track4_a30_literal_rerun/runs/phaseSURR_direct_fitting/hybrid_refinement_surrogate_bundle_prediction_swyft_tmnre_structured_stage1_v100_20260425_mean_20260427/hybrid_refinement_manifest.json
hybrid_refinement_surrogate_bundle_prediction_swyft_native_aligned_currents_pool_v100_20260425_mean_20260427,predictions_mean,220.64620881907481,0.7701154947280884,45.55903052478009,836.4489718455172,182.5374725341797,183.86891018152238,6.361220651227367,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260427_hh_track4_a30_literal_rerun/runs/phaseSURR_direct_fitting/hybrid_refinement_surrogate_bundle_prediction_swyft_native_aligned_currents_pool_v100_20260425_mean_20260427/hybrid_refinement_manifest.json
hybrid_refinement_surrogate_bundle_prediction_bayesflow_native_meanstd_v100_20260425_mean_20260427,predictions_mean,228.25568556015122,1.2793801546096801,46.543602933206046,842.6977611275664,228.276806640625,193.18811489343642,19.545671760230142,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260427_hh_track4_a30_literal_rerun/runs/phaseSURR_direct_fitting/hybrid_refinement_surrogate_bundle_prediction_bayesflow_native_meanstd_v100_20260425_mean_20260427/hybrid_refinement_manifest.json
hybrid_refinement_surrogate_bundle_prediction_swyft_native_v100_20260425_mean_20260427,predictions_mean,306.80695845140684,1.159660851955414,62.70833237370827,1151.6088135571938,264.45244140625,269.3237441658974,39.53384872673479,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260427_hh_track4_a30_literal_rerun/runs/phaseSURR_direct_fitting/hybrid_refinement_surrogate_bundle_prediction_swyft_native_v100_20260425_mean_20260427/hybrid_refinement_manifest.json
hybrid_refinement_surrogate_bundle_prediction_bayesflow_native_meanstd_v100_20260425_medoid_20260427,predictions_medoid,313.49912722539005,1.5788997888565064,68.6978841728776,1207.061458397769,214.7553497314453,249.88141323328017,19.55048439971636,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260427_hh_track4_a30_literal_rerun/runs/phaseSURR_direct_fitting/hybrid_refinement_surrogate_bundle_prediction_bayesflow_native_meanstd_v100_20260425_medoid_20260427/hybrid_refinement_manifest.json
hybrid_refinement_surrogate_bundle_prediction_swyft_tmnre_score_prune_structured_v100_20260426_mean_20260427,predictions_mean,336.541573003879,1.167108380794525,69.16822420348784,1249.5421763826685,305.217578125,307.35393062829974,22.347361393712372,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260427_hh_track4_a30_literal_rerun/runs/phaseSURR_direct_fitting/hybrid_refinement_surrogate_bundle_prediction_swyft_tmnre_score_prune_structured_v100_20260426_mean_20260427/hybrid_refinement_manifest.json
hybrid_refinement_surrogate_bundle_prediction_swyft_native_concat_small_v100_20260425_mean_20260427,predictions_mean,368.8566903301323,1.4471343755722046,77.69209977231176,1346.2879927852666,356.64705352783204,352.9501712441444,8.181685152285423,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260427_hh_track4_a30_literal_rerun/runs/phaseSURR_direct_fitting/hybrid_refinement_surrogate_bundle_prediction_swyft_native_concat_small_v100_20260425_mean_20260427/hybrid_refinement_manifest.json
hybrid_refinement_surrogate_bundle_prediction_swyft_tmnre_native_v100_20260425_mean_20260427,predictions_mean,481.3821845702514,1.1366546750068665,95.85766069112427,1815.0849654831225,402.1658935546875,434.61766201257706,33.70979235565733,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260427_hh_track4_a30_literal_rerun/runs/phaseSURR_direct_fitting/hybrid_refinement_surrogate_bundle_prediction_swyft_tmnre_native_v100_20260425_mean_20260427/hybrid_refinement_manifest.json
