current_label,target_name,semantic_mapping,min,max,mean,std
0.1,hh_param_1,unknown,0.05111417546868324,9997.0361328125,2491.66943359375,3333.490478515625
0.1,hh_param_2,unknown,0.20000000298023224,99.97315979003906,26.727699279785156,27.68230438232422
0.1,hh_param_3,unknown,5.001866817474365,999.508056640625,347.5682678222656,304.4869384765625
0.1,hh_param_4,unknown,0.05007195472717285,9999.1865234375,2505.801025390625,3354.54541015625
0.1,hh_param_5,unknown,0.20000000298023224,99.9966049194336,26.736085891723633,27.669755935668945
0.1,hh_param_6,unknown,5.0159783363342285,999.9827880859375,346.1029968261719,302.8154602050781
0.2,hh_param_1,unknown,0.05012969300150871,9999.2998046875,2505.88037109375,3353.707275390625
0.2,hh_param_2,unknown,0.20000000298023224,99.97467041015625,26.84393310546875,27.769594192504883
0.2,hh_param_3,unknown,5.0286431312561035,999.6925659179688,349.1220397949219,304.643798828125
0.2,hh_param_4,unknown,0.0507710836827755,9999.2802734375,2496.72998046875,3342.709716796875
0.2,hh_param_5,unknown,0.20000000298023224,99.96829986572266,26.83107566833496,27.61463737487793
0.2,hh_param_6,unknown,5.060307025909424,999.94189453125,348.12921142578125,305.47418212890625
0.3,hh_param_1,unknown,0.05056442692875862,9999.958984375,2481.718017578125,3321.193603515625
0.3,hh_param_2,unknown,0.20000000298023224,99.950927734375,26.667701721191406,27.678842544555664
0.3,hh_param_3,unknown,5.002307891845703,999.9916381835938,346.48773193359375,304.3488464355469
0.3,hh_param_4,unknown,0.0510159470140934,9997.3046875,2508.055908203125,3357.4072265625
0.3,hh_param_5,unknown,0.20000000298023224,99.98729705810547,26.746461868286133,27.51175880432129
0.3,hh_param_6,unknown,5.036761283874512,999.510009765625,346.0473937988281,303.4393615722656
0.4,hh_param_1,unknown,0.05050789192318916,9999.2822265625,2516.8984375,3371.58447265625
0.4,hh_param_2,unknown,0.20000000298023224,99.97684478759766,26.86615562438965,27.60270881652832
0.4,hh_param_3,unknown,5.028434753417969,999.4188842773438,346.9432067871094,303.8201904296875
0.4,hh_param_4,unknown,0.05007804557681084,9999.4365234375,2516.19970703125,3364.07666015625
0.4,hh_param_5,unknown,0.20000000298023224,99.9849624633789,26.76575469970703,27.811176300048828
0.4,hh_param_6,unknown,5.003322601318359,999.7283935546875,346.82159423828125,304.6439514160156
0.5,hh_param_1,unknown,0.05017741024494171,9999.9716796875,2502.806640625,3349.598388671875
0.5,hh_param_2,unknown,0.20000000298023224,99.93507385253906,26.649930953979492,27.584407806396484
0.5,hh_param_3,unknown,5.009709358215332,999.8430786132812,348.4106140136719,305.23876953125
0.5,hh_param_4,unknown,0.0500146821141243,9996.4658203125,2504.98291015625,3352.677490234375
0.5,hh_param_5,unknown,0.20000000298023224,99.93722534179688,26.757448196411133,27.596220016479492
0.5,hh_param_6,unknown,5.003174781799316,999.8744506835938,344.4244079589844,302.8695068359375
