row_id,label,status,node,started_at,ended_at,return_code,command,stdout_log,stderr_log
acdhh_1001,hybrid_prediction_bayesflow_currfusion_deltas_medoid,COMPLETED,fal101,2026-04-25T23:46:04-04:00,2026-04-25T23:46:32-04:00,0,cd /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch && /projects/neuro-collab/conda/neuro-collab-env/bin/python scripts/run_hh_track4_assumption_conditioned_hybrid_refinement_surrogate_bundle_integration_20260425.py --bundle-label prediction_bayesflow_currfusion_deltas_medoid --init-mode prediction --prediction-file data/important_notes/optimization_track_20260425_hh_track4_run_all_literature_plan/runs/bayesflow_native_structured_currfusion_deltas_v100_20260425/predictions_medoid.npz --n-exemplars 3 --trace-length 2000 --maxiter 120,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_1001.out,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_1001.err
acdhh_1002,hybrid_prediction_bayesflow_currfusion_medoid,COMPLETED,fal102,2026-04-25T23:46:04-04:00,2026-04-25T23:46:32-04:00,0,cd /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch && /projects/neuro-collab/conda/neuro-collab-env/bin/python scripts/run_hh_track4_assumption_conditioned_hybrid_refinement_surrogate_bundle_integration_20260425.py --bundle-label prediction_bayesflow_currfusion_medoid --init-mode prediction --prediction-file data/important_notes/optimization_track_20260425_hh_track4_run_all_literature_plan/runs/bayesflow_native_structured_currfusion_v100_20260425/predictions_medoid.npz --n-exemplars 3 --trace-length 2000 --maxiter 120,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_1002.out,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_1002.err
acdhh_1003,hybrid_prediction_swyft_aligned_pool_median,COMPLETED,fal103,2026-04-25T23:46:04-04:00,2026-04-25T23:46:32-04:00,0,cd /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch && /projects/neuro-collab/conda/neuro-collab-env/bin/python scripts/run_hh_track4_assumption_conditioned_hybrid_refinement_surrogate_bundle_integration_20260425.py --bundle-label prediction_swyft_aligned_pool_median --init-mode prediction --prediction-file data/important_notes/optimization_track_20260425_hh_track4_run_all_literature_plan/runs/swyft_native_aligned_currents_pool_v100_20260425/predictions_median.npz --n-exemplars 3 --trace-length 2000 --maxiter 120,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_1003.out,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_1003.err
acdhh_1004,hybrid_prediction_swyft_tmnre_structured_median,COMPLETED,fal108,2026-04-25T23:46:04-04:00,2026-04-25T23:46:49-04:00,0,cd /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch && /projects/neuro-collab/conda/neuro-collab-env/bin/python scripts/run_hh_track4_assumption_conditioned_hybrid_refinement_surrogate_bundle_integration_20260425.py --bundle-label prediction_swyft_tmnre_structured_median --init-mode prediction --prediction-file data/important_notes/optimization_track_20260425_hh_track4_run_all_literature_plan/runs/swyft_tmnre_structured_stage1_v100_20260425/predictions_median.npz --n-exemplars 3 --trace-length 2000 --maxiter 120,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_1004.out,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_1004.err
acdhh_1005,hybrid_prediction_poolseq_fmpe_median,COMPLETED,fal102,2026-04-25T23:46:27-04:00,2026-04-25T23:46:54-04:00,0,cd /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch && /projects/neuro-collab/conda/neuro-collab-env/bin/python scripts/run_hh_track4_assumption_conditioned_hybrid_refinement_surrogate_bundle_integration_20260425.py --bundle-label prediction_poolseq_fmpe_median --init-mode prediction --prediction-file data/important_notes/optimization_track_20260425_tc_hh_track4_pool_sequential_sbi/runs/fmpe_mlp_r2_pool4096_final2048/predictions_median.npz --n-exemplars 3 --trace-length 2000 --maxiter 120,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_1005.out,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_1005.err
acdhh_1006,hybrid_prediction_poolseq_snpe_median,COMPLETED,fal101,2026-04-25T23:46:33-04:00,2026-04-25T23:47:17-04:00,0,cd /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch && /projects/neuro-collab/conda/neuro-collab-env/bin/python scripts/run_hh_track4_assumption_conditioned_hybrid_refinement_surrogate_bundle_integration_20260425.py --bundle-label prediction_poolseq_snpe_median --init-mode prediction --prediction-file data/important_notes/optimization_track_20260425_tc_hh_track4_pool_sequential_sbi/runs/snpe_maf_r3_pool4096_final2048/predictions_median.npz --n-exemplars 3 --trace-length 2000 --maxiter 120,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_1006.out,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_1006.err
