section,name,branch_family,comparability_class,metric_name,metric_value,source,note
aligned_framework_snapshot,a30runall__bayesflow_native_meanstd_v100_20260425,bayesflow,assumption_conditioned_aligned_multicurrent_a30,mae,595.6303100585938,runs/phaseLIT_aligned_runall/bayesflow_native_meanstd_v100_20260425/metrics_summary.json,bayesflow_native
posterior_decision_rules,a30runall__bayesflow_set_posterior_v100_20260426::median,bayesflow,assumption_conditioned_aligned_multicurrent_a30,mae,564.6381225585938,runs/phaseLIT_aligned_runall/bayesflow_set_posterior_v100_20260426/predictions_median.npz,median
active_policy_heuristic,a30surr__active_sequential_wasserstein_smoke_20260425,active_sequential,assumption_conditioned_surrogate_active_design_a30,mean_abs_log10_error_params_mean,0.4646704614711557,runs/phaseSURR_active/active_sequential_wasserstein_smoke_20260425/active_sequential_manifest.json,wasserstein
asnpe,a30surr__asnpe_extended_v100_20260428,asnpe,assumption_conditioned_surrogate_active_design_a30,mean_abs_log10_error_params_mean,0.6557816863059998,runs/phaseSURR_active/asnpe_extended_v100_20260428/asnpe_manifest.json,asnpe_style
simformer_reference,a30lit__simformer_official_hh_primary_20260426,simformer,upstream_hh_benchmark_not_directly_comparable,mae,7.624423503875732,runs/phaseLIT_new_methods/simformer_official_hh_primary_20260426/simformer_hh_metrics_summary.json,official upstream HH benchmark
generalized_bayes_beta_sweep,a30lit__generalized_bayes_npe_main_20260426::beta_0.25,generalized_bayes_npe,assumption_conditioned_local_adaptation_not_exact_paper_code,mean_abs_log10_error_params_mean,2.221421390771866,runs/phaseLIT_new_methods/generalized_bayes_npe_main_20260426/generalized_bayes_npe_manifest.json,beta=0.25
